[INFO ] 2025-12-23 18:29:31,424 [main] Logback logging API implementation is configured.
[INFO ] 2025-12-23 18:29:32,335 [main] Completed initialization in 1758 ms
[INFO ] 2025-12-23 18:29:34,645 [repositories/ontology5] POST transaction start
[INFO ] 2025-12-23 18:29:34,672 [repositories/ontology5] transaction started
[INFO ] 2025-12-23 18:29:34,690 [repositories/ontology5] POST query 1164081809
[INFO ] 2025-12-23 18:29:34,790 [repositories/ontology5] Request for query 1164081809 is finished
[INFO ] 2025-12-23 18:29:34,806 [repositories/ontology5] POST query 952730896
[INFO ] 2025-12-23 18:29:34,808 [repositories/ontology5] Request for query 952730896 is finished
[INFO ] 2025-12-23 18:29:34,815 [repositories/ontology5] PUT txn operation
[INFO ] 2025-12-23 18:29:34,825 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-12-23 18:31:07,209 [repositories/ontology5] POST transaction start
[INFO ] 2025-12-23 18:31:07,212 [repositories/ontology5] transaction started
[INFO ] 2025-12-23 18:31:07,224 [repositories/ontology5] POST query 1164081809
[INFO ] 2025-12-23 18:31:07,227 [repositories/ontology5] Request for query 1164081809 is finished
[INFO ] 2025-12-23 18:31:07,241 [repositories/ontology5] POST query 952730896
[INFO ] 2025-12-23 18:31:07,243 [repositories/ontology5] Request for query 952730896 is finished
[INFO ] 2025-12-23 18:31:07,249 [repositories/ontology5] PUT txn operation
[INFO ] 2025-12-23 18:31:07,249 [repositories/ontology5] PUT txn operation request finished.
