[INFO ] 2025-11-29 15:58:32,678 [main] Logback logging API implementation is configured.
[INFO ] 2025-11-29 15:58:33,158 [main] Completed initialization in 942 ms
[WARN ] 2025-11-29 15:58:33,461 [repositories/ontology5] Removing invalid lock 1@b34991a31389
[INFO ] 2025-11-29 15:58:33,498 [repositories/ontology5] POST transaction start
[INFO ] 2025-11-29 15:58:33,526 [repositories/ontology5] transaction started
[INFO ] 2025-11-29 15:58:33,543 [repositories/ontology5] POST query 741379983
[INFO ] 2025-11-29 15:58:33,639 [repositories/ontology5] Request for query 741379983 is finished
[INFO ] 2025-11-29 15:58:33,661 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,688 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,694 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,700 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,705 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,710 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,714 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,720 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,724 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,729 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,734 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,736 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,740 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,742 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,747 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,750 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,755 [repositories/ontology5] POST query 952730896
[INFO ] 2025-11-29 15:58:33,758 [repositories/ontology5] Request for query 952730896 is finished
[INFO ] 2025-11-29 15:58:33,762 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,764 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,767 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,770 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:33,775 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:33,799 [repositories/ontology5] PUT txn operation request finished.
[INFO ] 2025-11-29 15:58:46,548 [repositories/ontology5] POST transaction start
[INFO ] 2025-11-29 15:58:46,550 [repositories/ontology5] transaction started
[INFO ] 2025-11-29 15:58:46,563 [repositories/ontology5] POST query 741379983
[INFO ] 2025-11-29 15:58:46,582 [repositories/ontology5] Request for query 741379983 is finished
[INFO ] 2025-11-29 15:58:46,594 [repositories/ontology5] POST query 952730896
[INFO ] 2025-11-29 15:58:46,597 [repositories/ontology5] Request for query 952730896 is finished
[INFO ] 2025-11-29 15:58:46,602 [repositories/ontology5] PUT txn operation
[INFO ] 2025-11-29 15:58:46,603 [repositories/ontology5] PUT txn operation request finished.
